epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,848.488,0.87249,0.58876,0.91659,0.74045,0.71727,0.76442,0.50265,0.93199,0.74547,0.95881,0.000540037,0.000540037,0.000540037
43,867.425,0.84889,0.57838,0.90417,0.81633,0.67554,0.76595,0.50752,0.9145,0.73334,0.95301,0.000531038,0.000531038,0.000531038
44,887.796,0.85046,0.5822,0.9131,0.77795,0.67725,0.76111,0.50368,0.91704,0.71828,0.95283,0.000522039,0.000522039,0.000522039
45,907.841,0.85347,0.57383,0.91009,0.85393,0.66179,0.77185,0.49943,0.91079,0.72884,0.94803,0.00051304,0.00051304,0.00051304
46,926.92,0.85513,0.56773,0.91461,0.82579,0.67539,0.77686,0.50071,0.91024,0.748,0.95322,0.00050404,0.00050404,0.00050404
47,947.425,0.83699,0.55543,0.90759,0.69402,0.74061,0.77231,0.50793,0.91068,0.70578,0.95231,0.000495041,0.000495041,0.000495041
48,967.515,0.84367,0.56003,0.90611,0.80479,0.65474,0.75369,0.50476,0.90174,0.72806,0.9484,0.000486042,0.000486042,0.000486042
49,986.736,0.83609,0.54642,0.90589,0.81454,0.66603,0.76754,0.50967,0.91473,0.71457,0.95243,0.000477043,0.000477043,0.000477043
50,1007.1,0.83511,0.54737,0.90525,0.73341,0.73587,0.77677,0.518,0.89615,0.72044,0.9444,0.000468044,0.000468044,0.000468044
51,1027.64,0.83544,0.54851,0.90604,0.83274,0.65796,0.76196,0.50615,0.89933,0.73867,0.94673,0.000459045,0.000459045,0.000459045
52,1046.67,0.82956,0.54172,0.90125,0.77389,0.7502,0.79116,0.51584,0.9087,0.72244,0.94581,0.000450046,0.000450046,0.000450046
53,1067.5,0.82849,0.53967,0.90095,0.78257,0.71598,0.77677,0.5096,0.90373,0.73209,0.94939,0.000441047,0.000441047,0.000441047
54,1086.95,0.82888,0.53489,0.90154,0.85796,0.65695,0.75928,0.50633,0.89528,0.72303,0.9463,0.000432048,0.000432048,0.000432048
55,1106.32,0.83199,0.53763,0.90279,0.73555,0.74658,0.78744,0.52414,0.90114,0.71188,0.94829,0.000423049,0.000423049,0.000423049
56,1127.87,0.82756,0.53357,0.90189,0.85649,0.6522,0.77445,0.5138,0.8961,0.71247,0.94714,0.000414049,0.000414049,0.000414049
57,1147.25,0.82052,0.53453,0.90194,0.76067,0.7351,0.78644,0.51487,0.89734,0.70635,0.94656,0.00040505,0.00040505,0.00040505
58,1167.05,0.8201,0.52524,0.89805,0.85677,0.66301,0.77561,0.51773,0.89122,0.72271,0.94285,0.000396051,0.000396051,0.000396051
59,1187.85,0.81786,0.52096,0.89423,0.75348,0.73736,0.7939,0.51602,0.90364,0.7214,0.94957,0.000387052,0.000387052,0.000387052
60,1207.65,0.83091,0.54709,0.90503,0.82576,0.69031,0.78799,0.51553,0.90392,0.72345,0.94654,0.000378053,0.000378053,0.000378053
61,1227.51,0.82238,0.52825,0.90209,0.79185,0.71887,0.77925,0.5144,0.89811,0.72119,0.95263,0.000369054,0.000369054,0.000369054
62,1247.84,0.80958,0.52582,0.89725,0.81646,0.69526,0.78645,0.51921,0.89824,0.69836,0.94633,0.000360055,0.000360055,0.000360055
63,1267.44,0.80064,0.51355,0.89251,0.81167,0.69803,0.78272,0.51903,0.88531,0.69724,0.9438,0.000351056,0.000351056,0.000351056
64,1288.28,0.8066,0.51823,0.89747,0.76365,0.74807,0.79906,0.52636,0.88411,0.70476,0.94319,0.000342057,0.000342057,0.000342057
65,1308.92,0.81168,0.51783,0.89658,0.76364,0.72024,0.77949,0.51326,0.90471,0.70205,0.94678,0.000333058,0.000333058,0.000333058
66,1328.54,0.80976,0.5162,0.89759,0.8161,0.69255,0.78157,0.51249,0.90363,0.70735,0.95203,0.000324058,0.000324058,0.000324058
67,1349.71,0.81192,0.51788,0.89328,0.75375,0.73929,0.78741,0.52444,0.88821,0.69826,0.94193,0.000315059,0.000315059,0.000315059
68,1369.53,0.80292,0.50681,0.89465,0.80484,0.72197,0.78767,0.52054,0.89833,0.7186,0.94214,0.00030606,0.00030606,0.00030606
69,1389.41,0.80081,0.51265,0.89211,0.79306,0.72477,0.7841,0.51938,0.9079,0.72915,0.95533,0.000297061,0.000297061,0.000297061
70,1410.84,0.79276,0.49529,0.88846,0.80083,0.70705,0.79272,0.5198,0.88899,0.71216,0.9418,0.000288062,0.000288062,0.000288062
71,1430.68,0.78751,0.48754,0.89129,0.79911,0.71022,0.78305,0.5166,0.89136,0.70793,0.94959,0.000279063,0.000279063,0.000279063
72,1451.64,0.78348,0.50428,0.89392,0.79917,0.72294,0.7948,0.52482,0.89204,0.70131,0.95201,0.000270064,0.000270064,0.000270064
73,1471.38,0.80047,0.49782,0.89394,0.82521,0.6971,0.79477,0.52837,0.88486,0.68221,0.94043,0.000261065,0.000261065,0.000261065
74,1491.36,0.79717,0.4981,0.8911,0.78949,0.7233,0.78539,0.52123,0.89179,0.70232,0.94735,0.000252066,0.000252066,0.000252066
75,1512.82,0.7885,0.49186,0.88921,0.83598,0.67821,0.78464,0.5204,0.88635,0.70785,0.94359,0.000243067,0.000243067,0.000243067
76,1532.3,0.7876,0.48989,0.88804,0.74069,0.7592,0.79552,0.53429,0.87731,0.67233,0.93822,0.000234068,0.000234068,0.000234068
77,1553.25,0.78276,0.48906,0.88789,0.76078,0.75221,0.79726,0.53257,0.87737,0.69364,0.9409,0.000225068,0.000225068,0.000225068
78,1573.88,0.78007,0.4797,0.88496,0.78403,0.72307,0.79118,0.52756,0.88615,0.6955,0.94181,0.000216069,0.000216069,0.000216069
79,1593.52,0.77847,0.48464,0.88519,0.75861,0.72931,0.7753,0.51798,0.88795,0.70578,0.94305,0.00020707,0.00020707,0.00020707
80,1614.34,0.78112,0.48251,0.89172,0.74414,0.73671,0.78285,0.52501,0.87107,0.67645,0.93598,0.000198071,0.000198071,0.000198071
81,1634.52,0.77987,0.4845,0.88583,0.83178,0.68239,0.78499,0.52273,0.88075,0.68919,0.93965,0.000189072,0.000189072,0.000189072
82,1653.79,0.78049,0.48796,0.88911,0.8129,0.68787,0.78933,0.52618,0.88897,0.69438,0.9446,0.000180073,0.000180073,0.000180073
83,1674.61,0.78317,0.48225,0.8879,0.74712,0.75245,0.79258,0.52561,0.88396,0.69211,0.94306,0.000171074,0.000171074,0.000171074
84,1694.75,0.77996,0.4742,0.88552,0.74233,0.74097,0.79545,0.53264,0.87863,0.67871,0.93983,0.000162075,0.000162075,0.000162075
85,1714.44,0.77678,0.47923,0.88728,0.80575,0.72699,0.79302,0.52764,0.87914,0.68474,0.93995,0.000153076,0.000153076,0.000153076
86,1735.53,0.76855,0.46939,0.88449,0.80831,0.71822,0.79222,0.52433,0.885,0.68221,0.94186,0.000144077,0.000144077,0.000144077
87,1754.86,0.76987,0.46623,0.88106,0.77063,0.7401,0.79062,0.52807,0.87934,0.6826,0.94156,0.000135077,0.000135077,0.000135077
88,1774.77,0.77142,0.47784,0.88252,0.78071,0.73011,0.79985,0.53596,0.87783,0.66866,0.93865,0.000126078,0.000126078,0.000126078
89,1795.63,0.76517,0.46918,0.88016,0.86282,0.67123,0.79065,0.53325,0.87676,0.68042,0.93803,0.000117079,0.000117079,0.000117079
90,1815.65,0.7587,0.46141,0.87923,0.8623,0.68076,0.79788,0.53554,0.87337,0.68455,0.938,0.00010808,0.00010808,0.00010808
91,1839.07,0.77251,0.47078,0.87403,0.79326,0.74069,0.79253,0.52331,0.8785,0.68658,0.94168,9.9081e-05,9.9081e-05,9.9081e-05
92,1858.24,0.75665,0.44916,0.8701,0.76564,0.7366,0.7928,0.52716,0.87565,0.67542,0.9401,9.00819e-05,9.00819e-05,9.00819e-05
93,1876.46,0.75665,0.44216,0.86745,0.75789,0.74349,0.7906,0.53253,0.87637,0.68212,0.93738,8.10828e-05,8.10828e-05,8.10828e-05
94,1896.67,0.74468,0.4396,0.86335,0.76003,0.74868,0.79246,0.53007,0.88058,0.68356,0.93968,7.20837e-05,7.20837e-05,7.20837e-05
95,1915.26,0.73371,0.43068,0.86,0.76246,0.74435,0.79238,0.53058,0.87703,0.68888,0.93871,6.30846e-05,6.30846e-05,6.30846e-05
96,1933.83,0.74721,0.44066,0.87116,0.75586,0.75277,0.79477,0.53153,0.87428,0.67482,0.93667,5.40855e-05,5.40855e-05,5.40855e-05
97,1951.86,0.73003,0.42447,0.8593,0.74786,0.75306,0.7885,0.52682,0.87092,0.68059,0.93763,4.50864e-05,4.50864e-05,4.50864e-05
98,1972.38,0.73619,0.42843,0.86306,0.75942,0.75693,0.79239,0.53261,0.87111,0.67785,0.93706,3.60873e-05,3.60873e-05,3.60873e-05
99,1990.46,0.73253,0.42807,0.86033,0.75516,0.75115,0.78873,0.53172,0.87068,0.67836,0.93631,2.70882e-05,2.70882e-05,2.70882e-05
100,2009.04,0.72327,0.41918,0.8588,0.76369,0.75006,0.79477,0.53568,0.87219,0.67836,0.9367,1.80891e-05,1.80891e-05,1.80891e-05
